Character,Battles,Play %,Victories,Win %,,,,,
Mario,0,0,0,#DIV/0!,,,,,Total Battles
Donkey Kong,0,0,0,#DIV/0!,,,,,3276
Link,14,0.0043,7,0.5,,,,,
Samus,0,0,0,#DIV/0!,,,,,
Dark Samus,0,0,0,#DIV/0!,,,,,
Yoshi,0,0,0,#DIV/0!,,,,,
Kirby,2,0.0006,0,0,,,,,
Fox,0,0,0,#DIV/0!,,,,,
Pikachu,21,0.0064,11,0.523809524,,,,,
Luigi,0,0,0,#DIV/0!,,,,,
Ness,0,0,0,#DIV/0!,,,,,
Captain Falcon,0,0,0,#DIV/0!,,,,,
Jigglypuff,0,0,0,#DIV/0!,,,,,
Peach,7,0.0021,1,0.142857143,,,,,
Daisy,0,0,0,#DIV/0!,,,,,
Bowser,0,0,0,#DIV/0!,,,,,
Ice Climbers,14,0.0043,6,0.428571429,,,,,
Sheik,1,0.0003,0,0,,,,,
Zelda,42,0.0128,22,0.523809524,,,,,
Dr. Mario,0,0,0,#DIV/0!,,,,,
Pichu,7,0.0021,0,0,,,,,
Falco,0,0,0,#DIV/0!,,,,,
Marth,14,0.0043,7,0.5,,,,,
Lucina,1,0.0003,0,0,,,,,
Young Link,10,0.0031,5,0.5,,,,,
Ganondorf,39,0.0119,20,0.512820513,,,,,
Mewtwo,4,0.0012,3,0.75,,,,,
Roy,5,0.0015,3,0.6,,,,,
Chrom,45,0.0137,21,0.466666667,,,,,
Mr. Game & Watch,0,0,0,#DIV/0!,,,,,
Metaknight,0,0,0,#DIV/0!,,,,,
Pit,0,0,0,#DIV/0!,,,,,
Dark Pit,0,0,0,#DIV/0!,,,,,
Zero Suit Samus,0,0,0,#DIV/0!,,,,,
Wario,0,0,0,#DIV/0!,,,,,
Snake,2,0.0006,0,0,,,,,
Ike,25,0.0076,10,0.4,,,,,
Pokemon Trainer,33,0.0101,19,0.575757576,,,,,
Diddy Kong,0,0,0,#DIV/0!,,,,,
Lucas,0,0,0,#DIV/0!,,,,,
Sonic,0,0,0,#DIV/0!,,,,,
King Dedede,0,0,0,#DIV/0!,,,,,
Olimar,1,0.0003,0,0,,,,,
Lucario,0,0,0,#DIV/0!,,,,,
R.O.B.,0,0,0,#DIV/0!,,,,,
Toon Link,0,0,0,#DIV/0!,,,,,
Wolf,4,0.0012,2,0.5,,,,,
Villager,1,0.0003,0,0,,,,,
Megaman,0,0,0,#DIV/0!,,,,,
Wii Fit Trainer,1,0.0003,0,0,,,,,
Rosalina & Luma,1,0.0003,0,0,,,,,
Little Mac,0,0,0,#DIV/0!,,,,,
Greninja,1,0.0003,0,0,,,,,
Mii Fighter,2,0.0006,0,0,,,,,
Mii Swordfighter,45,0.0137,22,0.488888889,,,,,
Mii Gunner,12,0.0037,0,0,,,,,
Palutena,7,0.0021,3,0.428571429,,,,,
Pac-Man,0,0,0,#DIV/0!,,,,,
Robin,0,0,0,#DIV/0!,,,,,
Shulk,2,0.0006,0,0,,,,,
Bowser Jr.,0,0,0,#DIV/0!,,,,,
Duck Hunt,0,0,0,#DIV/0!,,,,,
Ryu,0,0,0,#DIV/0!,,,,,
Ken,0,0,0,#DIV/0!,,,,,
Cloud,56,0.0171,28,0.5,,,,,
Corrin,3,0.0009,1,0.333333333,,,,,
Bayonetta,2183,0.6664,1206,0.552450756,,,,,
Inkling,36,0.011,19,0.527777778,,,,,
Ridley,29,0.0089,16,0.551724138,,,,,
Simon,6,0.0018,3,0.5,,,,,
Richter,30,0.0092,14,0.466666667,,,,,
King K. Rool,61,0.0186,31,0.508196721,,,,,
Isabelle,8,0.0024,5,0.625,,,,,
Incineroar,60,0.0183,30,0.5,,,,,
Piranha Plant,36,0.011,19,0.527777778,,,,,
Joker,233,0.0711,117,0.502145923,,,,,
Hero,155,0.0473,83,0.535483871,,,,,
Banjo and Kazooie,17,0.0052,11,0.647058824,,,,,
